Status Toko,Kategori Utama,Sub Kategori,Jenis Produk,Persentase Biaya,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Rambut,Bando & Bandana,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Rambut,Ikat Rambut,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Rambut,Pita & Scrunchie,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Rambut,Jepitan & Pin Rambut,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Rambut,Rambut Palsu & Extension,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Rambut,Hiasan Kepala,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Rambut,Tiara & Mahkota Bunga,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Rambut,Aksesoris Rambut Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Tambahan,Bros & Pin,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Tambahan,Bordir,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Tambahan,Liontin,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Tambahan,Kancing Manset,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Tambahan,Tato Temporer,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Tambahan,Sapu Tangan,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Tambahan,Aksesoris Tambahan Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Anting,Anting,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Cincin,Cincin,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Dasi,Dasi,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Gelang Kaki,Gelang Kaki,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Gelang Tangan & Bangle,Gelang Tangan & Bangle,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Ikat Pinggang,Ikat Pinggang,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Kacamata & Aksesoris,Kacamata Hitam,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Kacamata & Aksesoris,Frame & Lensa Kacamata,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Kacamata & Aksesoris,Tempat Kacamata & Aksesoris,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Kacamata & Aksesoris,Aksesoris Kacamata Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Kalung,Kalung,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Sarung Tangan,Sarung Tangan,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Set & Paket Aksesoris,Set & Paket Aksesoris,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Syal & Selendang,Syal & Selendang,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Topi,Topi,9,,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Tambahan,Masker,"8,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Logam Mulia,Platinum & Emas,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Logam Mulia,Perak,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Logam Mulia,Berlian,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Logam Mulia,Permata,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Logam Mulia,Logam Mulia Lainnya,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Perhiasan Berharga,Kalung,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Perhiasan Berharga,Gelang Tangan,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Perhiasan Berharga,Cincin Anting,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Perhiasan Berharga,Gelang Kaki,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Perhiasan Berharga,Liontin,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Perhiasan Berharga,Bros & Pin,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Perhiasan Berharga,Set Perhiasan,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Perhiasan Berharga,Perhiasan Berharga Lainnya,"4,25",,,,,,,,,,,,,,,
Non-Star,Aksesoris Fashion,Aksesoris Fashion Lainnya,Aksesoris Fashion Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Ransel,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Tas Selempang & Bahu,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Tas Troli,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Dompet,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Tas & Koper Lainnya,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Jam Tangan,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Topi,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Kacamata,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Aksesoris Rambut,9,,,,,,,,,,,,,,,
Non-Star,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Sarung Tangan,9,,,,,,,,,,,,,,,
